sku,description,ean,url,brand,title,image_urls,currency,mfr,current_price,price
287362,Samsung Galaxy A7 (2016) Dual-SIM SM-A7100 Features,8806088151700,http://www.expansys.com.sg/samsung-galaxy-a7-2016-dual-sim-sm-a7100-unlocked-lte-16gb-gold-287362/,Samsung,Samsung Galaxy A7 (2016) Dual-SIM SM-A7100 ,http://i1.expansys.com/img/b/287362/samsung-galaxy-a7-2016-dual-sim-sm-a7100.jpg,SGD,AP_A7100_2016_16GB_GLD,SG$544.99,SG$544.99
286535,HTC One A9 - A9u Features,4718487682614,http://www.expansys.com.sg/htc-one-a9-unlocked-32gb-topaz-gold-286535/,HTC,HTC One A9 - A9u ,http://i2.expansys.com/img/b/286535/htc-one-a9.jpg,SGD,AP_HTCA9_32_GLD,SG$639.99,SG$639.99
283365,DJI Focus Features,DJI_focus,http://www.expansys.com.sg/dji-focus-with-a-remote-controller-283365/,,DJI Focus ,http://i2.expansys.com/img/b/283365/dji-focus.jpg,SGD,,"SG$2,651.20","SG$2,651.20"
276488,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887319962,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-silver-276488/,SJCAM,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,http://i2.expansys.com/img/b/276488/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ5000+_SR,SG$201.65,SG$201.65
273223,SJCAM M10 WiFi Mini Cube Full HD Action Camera Features,5055887315759,http://www.expansys.com.sg/sjcam-m10-wifi-full-hd-mini-action-camera-red-273223/,SJCAM,SJCAM M10 WiFi Mini Cube Full HD Action Camera ,http://i1.expansys.com/img/b/273223/sjcam-m10-wifi-full-hd-mini-action-camera.jpg,SGD,AP_SJM10WIFI_RD,SG$126.99,SG$126.99
273007,SJCAM SJ4000 WIFI Full HD Sports Camera Features,5055887315384,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-white-273007/,SJCAM,SJCAM SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/273007/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ4000WIFI_WH,SG$118.99,SG$118.99
264616,XBase SJ4000 WIFI Full HD Sports Camera Features,5055887308126,http://www.expansys.com.sg/xbase-sj4000-at200-wifi-full-hd-sports-camera-black-264616/,XBase,XBase SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/264616/xbase-sj4000-at200-wifi-full-hd-sports-camera.jpg,SGD,AP_SJ4000WIFI_BK,SG$125.99,SG$125.99
276492,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887324065,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-red-276492/,SJCAM,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,http://i1.expansys.com/img/b/276492/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ5000+_RD,SG$201.65,SG$201.65
276491,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887324058,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-yellow-276491/,SJCAM,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,http://i1.expansys.com/img/b/276491/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ5000+_YE,SG$201.65,SG$201.65
287530,Samsung Galaxy Note5 (Dual SIM) SM-N9200 Features,8806088197685,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-pink-287530/,Samsung,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,http://i1.expansys.com/img/b/287530/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,SGD,AP_SM-N9200,SG$889.99,SG$889.99
